artifact_path,artifact_group,extension,size_bytes,line_count,is_binary,sha256,generated_by
raw/data_docs/caida_as_relationships.html,raw,.html,52669,988,False,4c3596d102c66c4dd56f49644e9d7a739aab5f5ad39992f8624394a8aa19bafd,manual_or_collected_source
raw/data_docs/caida_asrank_api.html,raw,.html,127473,1682,False,b8f385633d7b28641050adf43965181cfca528ea964bd5f6480f81526f255d6d,manual_or_collected_source
raw/data_docs/manrs_measurement_framework.html,raw,.html,117445,146,False,c1a135ba94206b1d2c9629eb6b48f05668ddf46285ee886c7bc628e968233b17,manual_or_collected_source
raw/data_docs/manrs_netops_actions.pdf,raw,.pdf,201765,0,True,cbbce6fa4f31f6f22530d4f9f68dd9c23d1faf36b0c0a5cc486fcb217a699f72,manual_or_collected_source
raw/data_docs/manrs_observatory_faq.html,raw,.html,95960,144,False,49fe62a62436b32cf2bc618eaa470f814b204e9a2cae025eb13d8352fbbc1687,manual_or_collected_source
raw/data_docs/peeringdb_api_docs.yaml,raw,.yaml,2486433,76389,False,ff584a452ed1a14aca13fac6fca1fed61835bf0bd1d5fe432c1fdace122a86d9,manual_or_collected_source
raw/data_docs/ripe_aspa_doc.html,raw,.html,129178,2555,False,5f3ceceb49d2df705f877f5145e27152391831ba5bb93d6ca6315d25ca2535c7,manual_or_collected_source
raw/data_docs/ripe_ris_docs.html,raw,.html,5557,31,False,291e3a0174507fcddf9ce80a5ac167c5987770624d855fe8fd05f8a2dc5cddd1,manual_or_collected_source
raw/data_docs/ripe_ris_raw_data.html,raw,.html,12738,37,False,592baa4f08dd2693c3ead6ee3555dca6d1d6177ab0dcbb27ab7c99e4c5c2a945,manual_or_collected_source
raw/data_docs/ripe_ris_route_collectors.html,raw,.html,48167,31,False,0fda1ffe0a3535e57f73606d796d18f5535c4e8111df9742b3eef2fb5bd51975,manual_or_collected_source
raw/data_docs/ripestat_api_docs.html,raw,.html,72710,84,False,ac26f6842361387048f2fa32a86299d1f433eb2a730a05d577217826b1dc657c,manual_or_collected_source
raw/data_docs/routeviews_api_doc.html,raw,.html,48083,1591,False,7ea970cb18638c8583bf3966931159dc1ad888c6922a99dc93a9d727c8fe3137,manual_or_collected_source
raw/data_docs/routeviews_archive_index.html,raw,.html,14923,351,False,47827756bb4959cd5f5e40ae0bed8a51dc8faaafe48b26052c9067a067e511ad,manual_or_collected_source
raw/papers/ap2vec_2022.html,raw,.html,13541,1,False,b8b1f36adb9c08c5ff791210f3d779deecf0db992d0ed995db42a3746d610427,manual_or_collected_source
raw/papers/artemis_2018.pdf,raw,.pdf,647506,0,True,09cc9157934850a37d4bf85936b26c4ad83e520d30e90acbae8b2470479049a5,manual_or_collected_source
raw/papers/aswatch_2015.html,raw,.html,53345,862,False,31b0faca835c167867ca48cbf3d72229e52feb58791e1e362cdc6cd669295a06,manual_or_collected_source
raw/papers/beam_2024.pdf,raw,.pdf,27079398,0,True,eaad1662eaf131b9a36459826be6e06fe418497b8e53b7d8f66a432bafd3af75,manual_or_collected_source
raw/papers/bear_2025.pdf,raw,.pdf,1827454,0,True,bdc554779573978596281396f4576b3cfd419d6856d692e768057cf9f2348ffa,manual_or_collected_source
raw/papers/bgp2vec_2020.pdf,raw,.pdf,708783,0,True,cd9923712498c47268759b63fab2a39a71d7459be0f84360396a924b523d95b9,manual_or_collected_source
raw/papers/bgpshield_2025.pdf,raw,.pdf,28158847,0,True,dd84d1b16421b6e6e87298236a8e15c454f8c199cdc669cb9876a111b40e5a33,manual_or_collected_source
raw/papers/bursty_announcements_2019.pdf,raw,.pdf,11957539,0,True,c5762c0bdce9de4f9675163649bb8897c10c0bc6b284ac20d3ac4d3c4186cea6,manual_or_collected_source
raw/papers/cair_2016.pdf,raw,.pdf,1139233,0,True,f2f72854d6fb48b4b2df37aaee179b16fc008bf174d6b6a12f695b17ebf22c08,manual_or_collected_source
raw/papers/global_bgp_attacks_2024.pdf,raw,.pdf,1058717,0,True,0473e6a9717f0b37e26a9310f77391b4f1787324a20a0a5c37288b194e315fe8,manual_or_collected_source
raw/papers/oscilloscope_2023.pdf,raw,.pdf,651401,0,True,09330804e58d8982150490ce325c458c36c429d659a18f5c1f2d91471406ef53,manual_or_collected_source
raw/papers/peerlock_2020.pdf,raw,.pdf,6000638,0,True,49100459827690c4fc66d512dcebad6e9aeef92e613fc6779d175e50d0acbb13,manual_or_collected_source
raw/papers/practical_defenses_2007.html,raw,.html,32288,739,False,5626952b7b0a98354ac601dc6956c95c5e49749fd5a9486fb30599e2de9e7201,manual_or_collected_source
raw/standards/rfc2622.txt,raw,.txt,140811,3936,False,e6c45c490e3a50eed6f68be67dc7c876cabd1b96f0a29a109450adc5e4d2e63c,manual_or_collected_source
raw/standards/rfc3912.txt,raw,.txt,7770,231,False,04df3d3ebbf6dc1667889af1a5d2430cbd40bc10c66626ffb4075eb88be2698f,manual_or_collected_source
raw/standards/rfc4271.txt,raw,.txt,222702,5931,False,98b851146abcd56ecbb398dd1a818bcde2dcac6fde3d901c423d988f86eaab76,manual_or_collected_source
raw/standards/rfc6480.txt,raw,.txt,62127,1371,False,e0e23a18c0e40ed96c4a169b7323c4157230bb9b1b8906aa4871b8a713921e3e,manual_or_collected_source
raw/standards/rfc6811.txt,raw,.txt,20082,573,False,05d3b68f6750fd1c6090a9132212a31bad711e513765c47ce6f8fe10fd1e68e5,manual_or_collected_source
raw/standards/rfc7908.txt,raw,.txt,25417,630,False,6260014fab63a4eb896107ab5df3b42afb0a7c01eb7890f467e41699d3b4e445,manual_or_collected_source
raw/standards/rfc8205.txt,raw,.txt,115900,2568,False,bb190974d0d8ea1cfa523d9ec3d20c0fa32e136b555cbe29e7c14007d40847fe,manual_or_collected_source
raw/standards/rfc8210.txt,raw,.txt,78467,1998,False,f2d6905b6c27c81fbcec3767d17b13e8a076f9712868e3c759bcfbe7a4f2149b,manual_or_collected_source
raw/standards/rfc9082.txt,raw,.txt,44735,1010,False,4958eda636664295f07156ee205e7c277e933edb9b3995fa369c2a97ff9bfc0e,manual_or_collected_source
raw/standards/rfc9083.txt,raw,.txt,120665,3711,False,a21092594836495e1f37bcf6d383bf8aa2a9ad29e2efd7852a73a92915b79eb9,manual_or_collected_source
